order_purchase_timestamp,order_count,revenue
2017-01-31,750,111798.36
2017-02-28,1653,234223.4
2017-03-31,2546,359198.85
2017-04-30,2303,340669.68
2017-05-31,3546,489338.25
2017-06-30,3135,421923.37
2017-07-31,3872,481604.52
2017-08-31,4193,554699.7
2017-09-30,4150,607399.67
2017-10-31,4478,648247.65
2017-11-30,7289,987765.37
2017-12-31,5513,726033.1900000001
2018-01-31,7069,924645.0
2018-02-28,6555,826437.13
2018-03-31,7003,953356.25
2018-04-30,6798,973534.09
2018-05-31,6749,977544.6900000001
2018-06-30,6099,856077.86
2018-07-31,6159,867953.46
2018-08-31,6351,838576.64
